IDText;Text;new_text;Tokeniz;dibakukan;stemmed;pre_stem;Kelas_SVM;manual;Kelas_RF;Kelas_SVM_SMOTE_Minority;Kelas_SOMTERF;Kelas_SVM_SMOTE2;Kelas_Voting_Hard;Kelas_Stacking;Kelas_PCAVoting_Hard;Kelas_PCA_Stacking;Kelas_Stacking2;Kelas_Stacking3
TXT0011;@alextham878 #Diplomasi Ganjar 3kali lipat anis saat anis tanya nilai wo!! Dipancing anis keluarin blunder angka 11(itu penghinaan) beda dan wajar dgan angka 5!!;diplomasi lipat anis anis nilai wo dipancing anis keluarin blunder angka penghinaan beda wajar dgan angka;['diplomasi', 'lipat', 'anis', 'anis', 'nilai', 'wo', 'dipancing', 'anis', 'keluarin', 'blunder', 'angka', 'penghinaan', 'beda', 'wajar', 'dgan', 'angka'];['diplomasi', 'lipat', 'anis', 'anis', 'nilai', 'wo', 'dipancing', 'anis', 'mengeluarkan', 'blunder', 'angka', 'penghinaan', 'beda', 'wajar', 'dgan', 'angka'];['diplomasi', 'lipat', 'anis', 'anis', 'nilai', 'wo', 'pancing', 'anis', 'keluar', 'blunder', 'angka', 'hina', 'beda', 'wajar', 'dgan', 'angka'];diplomasi lipat anis anis nilai wo pancing anis keluar blunder angka hina beda wajar dgan angka;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya;Politik;Sosial Budaya;Politik;Politik;Politik;Sosial Budaya
TXT0012;Malu-maluin. Dari Gemoy ke minyak gorengÃ¢Â€Â¦ apakah tidak ada cara kampanye yang lebih terhormat u/ masyarakat dan demokrasi? Kenapa masyarakat dan demokrasi diukur-ukur dg sembako dan rupiah? Contoh lah Desak AniesÃ¢Â€Â¦ terhormat! https://t.co/SRavgtkybi [RE ShamsiAli2];malumaluin gemoy minyak goreng kampanye terhormat u masyarakat demokrasi masyarakat demokrasi diukurukur dg sembako rupiah contoh desak anies terhormat;['malumaluin', 'gemoy', 'minyak', 'goreng', 'kampanye', 'terhormat', 'u', 'masyarakat', 'demokrasi', 'masyarakat', 'demokrasi', 'diukurukur', 'dg', 'sembako', 'rupiah', 'contoh', 'desak', 'anies', 'terhormat'];['malumaluin', 'gemoy', 'minyak', 'goreng', 'kampanye', 'terhormat', 'untuk', 'masyarakat', 'demokrasi', 'masyarakat', 'demokrasi', 'diukurukur', 'dengan', 'sembako', 'rupiah', 'contoh', 'desak', 'anies', 'terhormat'];['malumaluin', 'gemoy', 'minyak', 'goreng', 'kampanye', 'hormat', 'untuk', 'masyarakat', 'demokrasi', 'masyarakat', 'demokrasi', 'diukurukur', 'dengan', 'sembako', 'rupiah', 'contoh', 'desak', 'anies', 'hormat'];malumaluin gemoy minyak goreng kampanye hormat untuk masyarakat demokrasi masyarakat demokrasi diukurukur dengan sembako rupiah contoh desak anies hormat;Ideologi;Politik;Politik;Ideologi;Politik;Ideologi;Ideologi;Sosial Budaya;Ideologi;Politik;Politik;Politik
TXT0013;"Saking pen junjungan mrk @prabowo brkuasa ap sj dlanggar, @bawaslu_RI dan @KPU_ID sj mlempem letoy hdapi planggaran mrk yg tak bretika !!! Ã°ÂŸÂ˜ÂÃ°ÂŸÂ˜ÂÃ°ÂŸÂ˜Â¤
#AMINAjaDulu 
#AniesMuhaimin2024 https://t.co/ReVmmRvOcc [RE kurusetra91]";saking pen junjungan mrk brkuasa ap sj dlanggar bawasluri kpuid sj mlempem letoy hdapi planggaran mrk bretika aminajadulu;['saking', 'pen', 'junjungan', 'mrk', 'brkuasa', 'ap', 'sj', 'dlanggar', 'bawasluri', 'kpuid', 'sj', 'mlempem', 'letoy', 'hdapi', 'planggaran', 'mrk', 'bretika', 'aminajadulu'];['saking', 'pengin', 'junjungan', 'mereka', 'brkuasa', 'apa', 'saja', 'dlanggar', 'bawasluri', 'kpuid', 'saja', 'mlempem', 'letoy', 'hdapi', 'planggaran', 'mereka', 'bretika', 'aminajadulu'];['saking', 'pengin', 'junjung', 'mereka', 'brkuasa', 'apa', 'saja', 'dlanggar', 'bawasluri', 'kpuid', 'saja', 'mlempem', 'letoy', 'hdapi', 'planggaran', 'mereka', 'bretika', 'aminajadulu'];saking pengin junjung mereka brkuasa apa saja dlanggar bawasluri kpuid saja mlempem letoy hdapi planggaran mereka bretika aminajadulu;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya;Politik;Sosial Budaya;Politik;Politik;Politik;Sosial Budaya
TXT0014;Manifesto Gerakan Rakyat untuk Perubahan, Lintas Profesi di Pantura Jawa Tengah Kompak Dukung Anies-Muhaimin (AMIN) https://t.co/YIwBAx2UFV [RE OposisiCerdas];manifesto gerakan rakyat perubahan lintas profesi pantura jawa kompak dukung amin;['manifesto', 'gerakan', 'rakyat', 'perubahan', 'lintas', 'profesi', 'pantura', 'jawa', 'kompak', 'dukung', 'amin'];['manifesto', 'gerakan', 'rakyat', 'perubahan', 'lintas', 'profesi', 'pantura', 'jawa', 'kompak', 'dukung', 'amin'];['manifesto', 'gera', 'rakyat', 'ubah', 'lintas', 'profesi', 'pantura', 'jawa', 'kompak', 'dukung', 'amin'];manifesto gera rakyat ubah lintas profesi pantura jawa kompak dukung amin;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Demografi;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya
TXT0015;"MasyaAllah, gegap gempita para santriwan-santriwati saat menyambut kehadiran Ganjar ke Ponpes An Nawawi Berjan, Purworejo (31/12/2023). 

Selain semarak dari barisan santri, dalam kunjungannya Ganjar Pranowo turut mendapat doa terbaik supaya hajatnya menjadi Kepala Negara untuk memberikan kesejahteraan kepada rakyat Indonesia dikabulkan oleh Tuhan Yang Maha Esa. Aamiin. [RE aan_muba]";gegap gempita santriwansantriwati menyambut kehadiran ponpes an nawawi berjan purworejo semarak barisan santri kunjungannya doa terbaik hajatnya kepala negara kesejahteraan rakyat indonesia dikabulkan tuhan maha esa aamiin;['gegap', 'gempita', 'santriwansantriwati', 'menyambut', 'kehadiran', 'ponpes', 'an', 'nawawi', 'berjan', 'purworejo', 'semarak', 'barisan', 'santri', 'kunjungannya', 'doa', 'terbaik', 'hajatnya', 'kepala', 'negara', 'kesejahteraan', 'rakyat', 'indonesia', 'dikabulkan', 'tuhan', 'maha', 'esa', 'aamiin'];['gegap', 'gempita', 'santriwansantriwati', 'menyambut', 'kehadiran', 'ponpes', 'an', 'nawawi', 'berjan', 'purworejo', 'semarak', 'barisan', 'santri', 'kunjungannya', 'doa', 'terbaik', 'hajatnya', 'kepala', 'negara', 'kesejahteraan', 'rakyat', 'indonesia', 'dikabulkan', 'tuhan', 'maha', 'esa', 'amin'];['gegap', 'gempita', 'santriwansantriwati', 'sambut', 'hadir', 'ponpes', 'an', 'nawawi', 'berjan', 'purworejo', 'semarak', 'baris', 'santri', 'kunjung', 'doa', 'baik', 'hajat', 'kepala', 'negara', 'sejahtera', 'rakyat', 'indonesia', 'kabul', 'tuhan', 'maha', 'esa', 'amin'];gegap gempita santriwansantriwati sambut hadir ponpes an nawawi berjan purworejo semarak baris santri kunjung doa baik hajat kepala negara sejahtera rakyat indonesia kabul tuhan maha esa amin;Politik;Sosial Budaya;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
TXT0016;"Sesi saling tanya antar Capres digunakan Ganjar dan Anies kompak untuk menyikat Prabowo.
Anies bertanya ke Prabowo hubungannya etika pemimpin negara dengan pertahanan negara.
(Di sini Anies bermaksud menyerang etika Jokowi soal pencawapresan Gibran.
Juga terkait adanya kader Gerindra yg menjadi rekanan Kemhan, mereka ialah Glenny Kairupan, Yudi Magio Yusuf, Prasetyo Hadi & Angga Raka Prabowo komisaris dari PT TMI.)

Prabowo menjawab Ã¢Â€ÂœJangan menghasut dan menyesatkan rakyat demi ambisi pribadi, begitu Prof Anies Baswedan. 
Prabowo berpendapat Anies tak layak bicara etika.

Untuk Ganjar, Prabowo menjelaskan kelayakan alutsista yg ia beli masih layak 15 tahun pakai, ia membandingkan membeli alutsista baru selain nominalnya besar mengurus pembeliannya memakan waktu bertahun-tahun. Menurut Prabowo setelah dibeli baru bisa digunakan 3 tahun selanjutnya. [RE mazzini_gsp]";sesi anies kompak menyikat hubungannya etika pemimpin negara pertahanan negaradi anies menyerang etika pencawapresan terkait kader gerindra rekanan kemhan glenny kairupan yudi magio yusuf prasetyo hadi angga raka komisaris pt menghasut menyesatkan rakyat ambisi pribadi prof anies baswedan berpendapat anies layak bicara etikauntuk kelayakan alutsista beli layak pakai membandingkan membeli alutsista nominalnya mengurus pembeliannya memakan bertahuntahun dibeli;['sesi', 'anies', 'kompak', 'menyikat', 'hubungannya', 'etika', 'pemimpin', 'negara', 'pertahanan', 'negaradi', 'anies', 'menyerang', 'etika', 'pencawapresan', 'terkait', 'kader', 'gerindra', 'rekanan', 'kemhan', 'glenny', 'kairupan', 'yudi', 'magio', 'yusuf', 'prasetyo', 'hadi', 'angga', 'raka', 'komisaris', 'pt', 'menghasut', 'menyesatkan', 'rakyat', 'ambisi', 'pribadi', 'prof', 'anies', 'baswedan', 'berpendapat', 'anies', 'layak', 'bicara', 'etikauntuk', 'kelayakan', 'alutsista', 'beli', 'layak', 'pakai', 'membandingkan', 'membeli', 'alutsista', 'nominalnya', 'mengurus', 'pembeliannya', 'memakan', 'bertahuntahun', 'dibeli'];['sesi', 'anies', 'kompak', 'menyikat', 'hubungannya', 'etika', 'pemimpin', 'negara', 'pertahanan', 'negaradi', 'anies', 'menyerang', 'etika', 'pencawapresan', 'terkait', 'kader', 'gerindra', 'rekanan', 'kemhan', 'glenny', 'kairupan', 'yudi', 'magio', 'yusuf', 'prasetyo', 'hadi', 'angga', 'raka', 'komisaris', 'pt', 'menghasut', 'menyesatkan', 'rakyat', 'ambisi', 'pribadi', 'prof', 'anies', 'baswedan', 'berpendapat', 'anies', 'layak', 'bicara', 'etikauntuk', 'kelayakan', 'alutsista', 'beli', 'layak', 'pakai', 'membandingkan', 'membeli', 'alutsista', 'nominalnya', 'mengurus', 'pembeliannya', 'memakan', 'bertahuntahun', 'dibeli'];['sesi', 'anies', 'kompak', 'sikat', 'hubung', 'etika', 'pimpin', 'negara', 'tahan', 'negaradi', 'anies', 'serang', 'etika', 'pencawapresan', 'kait', 'kader', 'gerindra', 'rekan', 'kemhan', 'glenny', 'kairupan', 'yudi', 'magio', 'yusuf', 'prasetyo', 'had', 'angga', 'raka', 'komisaris', 'pt', 'hasut', 'sesat', 'rakyat', 'ambisi', 'pribadi', 'prof', 'anies', 'baswedan', 'dapat', 'anies', 'layak', 'bicara', 'etikauntuk', 'layak', 'alutsista', 'beli', 'layak', 'pakai', 'banding', 'beli', 'alutsista', 'nominal', 'urus', 'beli', 'makan', 'bertahuntahun', 'beli'];sesi anies kompak sikat hubung etika pimpin negara tahan negaradi anies serang etika pencawapresan kait kader gerindra rekan kemhan glenny kairupan yudi magio yusuf prasetyo had angga raka komisaris pt hasut sesat rakyat ambisi pribadi prof anies baswedan dapat anies layak bicara etikauntuk layak alutsista beli layak pakai banding beli alutsista nominal urus beli makan bertahuntahun beli;Sosial Budaya;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Sosial Budaya;Pertahanan dan Keamanan;Sosial Budaya;Sosial Budaya;Pertahanan dan Keamanan;Politik;Politik;Politik;Pertahanan dan Keamanan
TXT0017;"@Anak__Ogi @ganjarpranowo @mohmahfudmd Setuju... Jgn sampai Pajak dinaikkan 23 % bisa amblas keuangan generasi Z... 

Dukung yg nyata saja.. 
Ganjar-Mahfud lah pilihannya
Ganjar-Mahfud lah jawabannya.. 
#GanjarMahfud2024 #GanjarMahfudSatset #GanjarPresiden #GanjarSikatKorupsi #GanjarUntukSemua";anakogi setuju jgn pajak dinaikkan amblas keuangan generasi z dukung nyata jawabannya;['anakogi', 'setuju', 'jgn', 'pajak', 'dinaikkan', 'amblas', 'keuangan', 'generasi', 'z', 'dukung', 'nyata', 'jawabannya'];['anakogi', 'setuju', 'jangan', 'pajak', 'dinaikkan', 'amblas', 'keuangan', 'generasi', 'saja', 'dukung', 'nyata', 'jawabannya'];['anakogi', 'tuju', 'jangan', 'pajak', 'naik', 'amblas', 'uang', 'generasi', 'saja', 'dukung', 'nyata', 'jawab'];anakogi tuju jangan pajak naik amblas uang generasi saja dukung nyata jawab;Politik;Politik;Ekonomi;Politik;Demografi;Politik;Politik;Demografi;Demografi;Demografi;Politik;Ekonomi
TXT0018;"Dengan Ganjar-Mahfud, kita bisa berharap peningkatan investasi riset dan inovasi industri unggulan akan menjadi kenyataan. @syngnyjim Happy New Year 
#GanjarMahfud2024
#3MandatGanjarMahfud
#L3bihbaik https://t.co/OMYAQXBi24";berharap peningkatan investasi riset inovasi industri unggulan kenyataan syngnyjim happy new year;['berharap', 'peningkatan', 'investasi', 'riset', 'inovasi', 'industri', 'unggulan', 'kenyataan', 'syngnyjim', 'happy', 'new', 'year'];['berharap', 'peningkatan', 'investasi', 'riset', 'inovasi', 'industri', 'unggulan', 'kenyataan', 'syngnyjim', 'happy', 'new', 'year'];['harap', 'tingkat', 'investasi', 'riset', 'inovasi', 'industri', 'unggul', 'nyata', 'syngnyjim', 'happy', 'new', 'year'];harap tingkat investasi riset inovasi industri unggul nyata syngnyjim happy new year;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Politik;Ekonomi
TXT0019;Kampanye politik Anies dalam Pilgub DKI mempengaruhi dinamika masyarakat, di mana generasi tua memendam kebencian yang sulit diperbaiki oleh generasi muda, berdampak pada kohesi sosial antar kelompok usia dalam populasi.;kampanye politik anies pilgub dki mempengaruhi dinamika masyarakat generasi tua memendam kebencian sulit diperbaiki generasi muda berdampak kohesi sosial kelompok usia populasi;['kampanye', 'politik', 'anies', 'pilgub', 'dki', 'mempengaruhi', 'dinamika', 'masyarakat', 'generasi', 'tua', 'memendam', 'kebencian', 'sulit', 'diperbaiki', 'generasi', 'muda', 'berdampak', 'kohesi', 'sosial', 'kelompok', 'usia', 'populasi'];['kampanye', 'politik', 'anies', 'pilgub', 'dki', 'mempengaruhi', 'dinamika', 'masyarakat', 'generasi', 'tua', 'memendam', 'kebencian', 'sulit', 'diperbaiki', 'generasi', 'muda', 'berdampak', 'kohesi', 'sosial', 'kelompok', 'usia', 'populasi'];['kampanye', 'politik', 'anies', 'pilgub', 'dki', 'pengaruh', 'dinamika', 'masyarakat', 'generasi', 'tua', 'pendam', 'benci', 'sulit', 'baik', 'generasi', 'muda', 'dampak', 'kohesi', 'sosial', 'kelompok', 'usia', 'populasi'];kampanye politik anies pilgub dki pengaruh dinamika masyarakat generasi tua pendam benci sulit baik generasi muda dampak kohesi sosial kelompok usia populasi;Demografi;Politik;Demografi;Demografi;Politik;Demografi;Demografi;Demografi;Demografi;Demografi;Politik;Demografi
TXT0020;Anies mengatakan, bansos berasal dari uang pajak rakyat. Bukan berasal dari pribadi seseorang untuk kepentingan masyarakat. https://t.co/ky45Mvrc9P [RE kumparan];anies bansos berasal uang pajak rakyat berasal pribadi kepentingan masyarakat;['anies', 'bansos', 'berasal', 'uang', 'pajak', 'rakyat', 'berasal', 'pribadi', 'kepentingan', 'masyarakat'];['anies', 'bansos', 'berasal', 'uang', 'pajak', 'rakyat', 'berasal', 'pribadi', 'kepentingan', 'masyarakat'];['anies', 'bansos', 'asal', 'uang', 'pajak', 'rakyat', 'asal', 'pribadi', 'penting', 'masyarakat'];anies bansos asal uang pajak rakyat asal pribadi penting masyarakat;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya
TXT0021;Upaya Pemberantasan Korupsi, Anies Ingin Kembalikan Kekuatan KPK Lewat Revisi UU https://t.co/YUmM6xpei5 #TempoVideo [RE tempodotco];upaya pemberantasan korupsi anies kembalikan kekuatan kpk revisi uu tempovideo;['upaya', 'pemberantasan', 'korupsi', 'anies', 'kembalikan', 'kekuatan', 'kpk', 'revisi', 'uu', 'tempovideo'];['upaya', 'pemberantasan', 'korupsi', 'anies', 'kembalikan', 'kekuatan', 'kpk', 'revisi', 'uu', 'tempovideo'];['upaya', 'berantas', 'korupsi', 'anies', 'kembali', 'kuat', 'kpk', 'revisi', 'uu', 'tempovideo'];upaya berantas korupsi anies kembali kuat kpk revisi uu tempovideo;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
