,Text,new_text2,Tokeniz,baku_text,stemmed_text
16,anakogi ganjarpranowo mohmahfudmd setuju jgn sampai pajak dinaikkan   bisa amblas keuangan generasi z dukung yg nyata saja ganjarmahfud lah pilihannyaganjarmahfud lah jawabannya  ganjarmahfudsatset ganjarpresiden ganjarsikatkorupsi ganjaruntuksemua,anakogi setuju jgn pajak dinaikkan amblas keuangan generasi z nyata pilihannyaganjarmahfud jawabannya,"['anakogi', 'setuju', 'jgn', 'pajak', 'dinaikkan', 'amblas', 'keuangan', 'generasi', 'z', 'nyata', 'pilihannyaganjarmahfud', 'jawabannya']","['anakogi', 'setuju', 'jangan', 'pajak', 'dinaikkan', 'amblas', 'keuangan', 'generasi', 'saja', 'nyata', 'pilihannyaganjarmahfud', 'jawabannya']","['anakogi', 'tuju', 'jangan', 'pajak', 'naik', 'amblas', 'uang', 'generasi', 'saja', 'nyata', 'pilihannyaganjarmahfud', 'jawab']"
17,dengan ganjarmahfud kita bisa berharap peningkatan investasi riset dan inovasi industri unggulan akan menjadi kenyataan syngnyjim happy new year  ,berharap peningkatan investasi riset inovasi industri unggulan kenyataan syngnyjim happy new year,"['berharap', 'peningkatan', 'investasi', 'riset', 'inovasi', 'industri', 'unggulan', 'kenyataan', 'syngnyjim', 'happy', 'new', 'year']","['berharap', 'peningkatan', 'investasi', 'riset', 'inovasi', 'industri', 'unggulan', 'kenyataan', 'syngnyjim', 'happy', 'new', 'year']","['harap', 'tingkat', 'investasi', 'riset', 'inovasi', 'industri', 'unggul', 'nyata', 'syngnyjim', 'happy', 'new', 'year']"
18,kampanye politik anies dalam pilgub dki mempengaruhi dinamika masyarakat di mana generasi tua memendam kebencian yang sulit diperbaiki oleh generasi muda berdampak pada kohesi sosial antar kelompok usia dalam populasi,kampanye pilgub dki mempengaruhi dinamika generasi tua memendam kebencian diperbaiki generasi muda berdampak kohesi sosial kelompok usia populasi,"['kampanye', 'pilgub', 'dki', 'mempengaruhi', 'dinamika', 'generasi', 'tua', 'memendam', 'kebencian', 'diperbaiki', 'generasi', 'muda', 'berdampak', 'kohesi', 'sosial', 'kelompok', 'usia', 'populasi']","['kampanye', 'pilgub', 'dki', 'mempengaruhi', 'dinamika', 'generasi', 'tua', 'memendam', 'kebencian', 'diperbaiki', 'generasi', 'muda', 'berdampak', 'kohesi', 'sosial', 'kelompok', 'usia', 'populasi']","['kampanye', 'pilgub', 'dki', 'pengaruh', 'dinamika', 'generasi', 'tua', 'pendam', 'benci', 'baik', 'generasi', 'muda', 'dampak', 'kohesi', 'sosial', 'kelompok', 'usia', 'populasi']"
19,anies mengatakan bansos berasal dari uang pajak rakyat bukan berasal dari pribadi seseorang untuk kepentingan masyarakat  ,berasal uang pajak berasal pribadi kepentingan,"['berasal', 'uang', 'pajak', 'berasal', 'pribadi', 'kepentingan']","['berasal', 'uang', 'pajak', 'berasal', 'pribadi', 'kepentingan']","['asal', 'uang', 'pajak', 'asal', 'pribadi', 'penting']"
20,upaya pemberantasan korupsi anies ingin kembalikan kekuatan kpk lewat revisi uu  tempovideo ,upaya pemberantasan korupsi kembalikan kekuatan kpk revisi uu tempovideo,"['upaya', 'pemberantasan', 'korupsi', 'kembalikan', 'kekuatan', 'kpk', 'revisi', 'uu', 'tempovideo']","['upaya', 'pemberantasan', 'korupsi', 'kembalikan', 'kekuatan', 'kpk', 'revisi', 'uu', 'tempovideo']","['upaya', 'berantas', 'korupsi', 'kembali', 'kuat', 'kpk', 'revisi', 'uu', 'tempovideo']"
21,  taufikdamas netizengansta qt netizengan kakekhalal antikorupsi setya novanto sebut ganjar pranowo terima duit ektp us  ribu  ganjar mahfud hebat    nelayansejahtera,taufikdamas netizengansta qt netizengan kakekhalal antikorupsi setya novanto duit ektp us nelayansejahtera,"['taufikdamas', 'netizengansta', 'qt', 'netizengan', 'kakekhalal', 'antikorupsi', 'setya', 'novanto', 'duit', 'ektp', 'us', 'nelayansejahtera']","['taufikdamas', 'netizengansta', 'kita', 'netizengan', 'kakekhalal', 'antikorupsi', 'setya', 'novanto', 'duit', 'ektp', 'us', 'nelayansejahtera']","['taufikdamas', 'netizengansta', 'kita', 'netizengan', 'kakekhalal', 'antikorupsi', 'setya', 'novanto', 'duit', 'ektp', 'us', 'nelayansejahtera']"
22,capres cawapres ganjar pranowo dan mahfud md mari bersamasama kita buka jalan bagi nelayan yang terjebak kredit macet sebagai hasilnya mereka dapat melangkah menuju kebebasan finansial nelayanbukajalan ganjarpranowopilihanumat ganjarmahfudrebound jnk,mari bersamasama buka nelayan terjebak kredit macet hasilnya melangkah kebebasan finansial nelayanbukajalan,"['mari', 'bersamasama', 'buka', 'nelayan', 'terjebak', 'kredit', 'macet', 'hasilnya', 'melangkah', 'kebebasan', 'finansial', 'nelayanbukajalan']","['mari', 'bersamasama', 'buka', 'nelayan', 'terjebak', 'kredit', 'macet', 'hasilnya', 'melangkah', 'kebebasan', 'finansial', 'nelayanbukajalan']","['mari', 'bersamasama', 'buka', 'nelayan', 'jebak', 'kredit', 'macet', 'hasil', 'lang', 'bebas', 'finansial', 'nelayanbukajalan']"
23,   apalagi kita sebgai negara kepulauan bagian pasifik utara kita harus punya  selatan  bagian barat  dan timur   ngra di dua samudra  colek pak ,sebgai kepulauan pasifik utara selatan barat timur ngra samudra colek,"['sebgai', 'kepulauan', 'pasifik', 'utara', 'selatan', 'barat', 'timur', 'ngra', 'samudra', 'colek']","['sebgai', 'kepulauan', 'pasifik', 'utara', 'selatan', 'barat', 'timur', 'ngra', 'samudra', 'colek']","['sebgai', 'pulau', 'pasifik', 'utara', 'selatan', 'barat', 'timur', 'ngra', 'samudra', 'colek']"
24,kehadiran sosokcapresnomor urut tiga pada pemilu  ganjar pranowo di tpi desa karanganyar kabupaten rembang  membuat nelayan setempat bersuka citamereka senang ketika mengetahuiganjar pranowomembawa program unggulan berupa penghapusan kredit macet atau utang bagi para nelayanganjar menyebututangyang dimiliki nelayan tidak besar dan bisa untuk dibantu dilunaskan pemerintahpihaknya sudah menghitung jumlah kredit macet di sektor perikanan indonesia ganjar mengatakan jumlah kredit macet tidaklah banyak sekitar rp  ,kehadiran sosokcapresnomor urut pemilu tpi desa karanganyar kabupaten rembang nelayan bersuka citamereka senang mengetahuiganjar pranowomembawa unggulan penghapusan kredit macet utang nelayanganjar menyebututangyang dimiliki nelayan dibantu dilunaskan pemerintahpihaknya menghitung kredit macet sektor perikanan kredit macet,"['kehadiran', 'sosokcapresnomor', 'urut', 'pemilu', 'tpi', 'desa', 'karanganyar', 'kabupaten', 'rembang', 'nelayan', 'bersuka', 'citamereka', 'senang', 'mengetahuiganjar', 'pranowomembawa', 'unggulan', 'penghapusan', 'kredit', 'macet', 'utang', 'nelayanganjar', 'menyebututangyang', 'dimiliki', 'nelayan', 'dibantu', 'dilunaskan', 'pemerintahpihaknya', 'menghitung', 'kredit', 'macet', 'sektor', 'perikanan', 'kredit', 'macet']","['kehadiran', 'sosokcapresnomor', 'urut', 'pemilu', 'tapi', 'desa', 'karanganyar', 'kabupaten', 'rembang', 'nelayan', 'bersuka', 'citamereka', 'senang', 'mengetahuiganjar', 'pranowomembawa', 'unggulan', 'penghapusan', 'kredit', 'macet', 'utang', 'nelayanganjar', 'menyebututangyang', 'dimiliki', 'nelayan', 'dibantu', 'dilunaskan', 'pemerintahpihaknya', 'menghitung', 'kredit', 'macet', 'sektor', 'perikanan', 'kredit', 'macet']","['hadir', 'sosokcapresnomor', 'urut', 'milu', 'tapi', 'desa', 'karanganyar', 'kabupaten', 'rembang', 'nelayan', 'suka', 'citamereka', 'senang', 'mengetahuiganjar', 'pranowomembawa', 'unggul', 'hapus', 'kredit', 'macet', 'utang', 'nelayanganjar', 'menyebututangyang', 'milik', 'nelayan', 'bantu', 'lunas', 'pemerintahpihaknya', 'hitung', 'kredit', 'macet', 'sektor', 'ikan', 'kredit', 'macet']"
25,rt abah online meroket figur pak anies semakin populer di kalangan anak anak milenial dan anakanak genz gagasan dan gaya komunikasi pak anies tentu berhasil memikat anak anak muda terutama anak anak genz dan ini memberi warna baru dalam kancah berpoltikan  ,online meroket figur populer kalangan genz gagasan gaya komunikasi berhasil memikat muda genz warna kancah berpoltikan,"['online', 'meroket', 'figur', 'populer', 'kalangan', 'genz', 'gagasan', 'gaya', 'komunikasi', 'berhasil', 'memikat', 'muda', 'genz', 'warna', 'kancah', 'berpoltikan']","['online', 'meroket', 'figur', 'populer', 'kalangan', 'genz', 'gagasan', 'gaya', 'komunikasi', 'berhasil', 'memikat', 'muda', 'genz', 'warna', 'kancah', 'berpoltikan']","['online', 'roket', 'figur', 'populer', 'kalang', 'genz', 'gagas', 'gaya', 'komunikasi', 'hasil', 'mikat', 'muda', 'genz', 'warna', 'kancah', 'berpoltikan']"
26,habis debat soal pesawat bekas prabowo teken kontrak   msn  indonesiakuatindonesiamaju  ,habis debat pesawat bekas teken kontrak msn,"['habis', 'debat', 'pesawat', 'bekas', 'teken', 'kontrak', 'msn']","['habis', 'debat', 'pesawat', 'bekas', 'teken', 'kontrak', 'msn']","['habis', 'debat', 'pesawat', 'bekas', 'teken', 'kontrak', 'msn']"
27,ganjar pranowo dan mahfud md pembela kesejahteraan rakyat ganjar mahfud hebat   memimpin indonesia  ,pembela kesejahteraan memimpin,"['pembela', 'kesejahteraan', 'memimpin']","['pembela', 'kesejahteraan', 'memimpin']","['bela', 'sejahtera', 'pimpin']"
28,ganjar pranowo itu bukan cuma pemimpin yang mikirin kepentingan diri sendiri tapi juga kepentingan rakyat dan kebebasan berpendapat di masyarakat ganjarpranowopilihanumat  jnk ganjarmahfudrebound ,pemimpin mikirin kepentingan kepentingan kebebasan berpendapat,"['pemimpin', 'mikirin', 'kepentingan', 'kepentingan', 'kebebasan', 'berpendapat']","['pemimpin', 'memikirkan', 'kepentingan', 'kepentingan', 'kebebasan', 'berpendapat']","['pimpin', 'pikir', 'penting', 'penting', 'bebas', 'dapat']"
29,harus nya prabowo seperti ini duduk bersila diacara aksikamisan untuk menjawab dan mengklarifikasi atau mengclearkan tuduhan atau isu penculikan dan pelanggaran ham yang dialamatkan kediaagar tidak ada lagi asumsi isu pelanggaran ham dan penculikan hanya muncul saat pilpres ,nya duduk bersila diacara aksikamisan mengklarifikasi mengclearkan tuduhan isu penculikan pelanggaran ham dialamatkan kediaagar asumsi isu pelanggaran ham penculikan muncul pilpres,"['nya', 'duduk', 'bersila', 'diacara', 'aksikamisan', 'mengklarifikasi', 'mengclearkan', 'tuduhan', 'isu', 'penculikan', 'pelanggaran', 'ham', 'dialamatkan', 'kediaagar', 'asumsi', 'isu', 'pelanggaran', 'ham', 'penculikan', 'muncul', 'pilpres']","['nya', 'duduk', 'bersila', 'diacara', 'aksikamisan', 'mengklarifikasi', 'mengclearkan', 'tuduhan', 'isu', 'penculikan', 'pelanggaran', 'ham', 'dialamatkan', 'kediaagar', 'asumsi', 'isu', 'pelanggaran', 'ham', 'penculikan', 'muncul', 'pilpres']","['nya', 'duduk', 'sila', 'acara', 'aksikamisan', 'klarifikasi', 'mengclearkan', 'tuduh', 'isu', 'culi', 'langgar', 'ham', 'alamat', 'kediaagar', 'asumsi', 'isu', 'langgar', 'ham', 'culi', 'muncul', 'pilpres']"
