,Unnamed: 0,IDText,Text,new_text,Tokeniz,dibakukan,stemmed,pre_stem,Kelas_SVM,manual,Kelas_RF,Kelas_SVM_SMOTE_Minority,Kelas_SOMTERF,Kelas_SVM_SMOTE2,Kelas_Voting_Hard,Kelas_Stacking,Kelas_PCAVoting_Hard,Kelas_PCA_Stacking,Kelas_Stacking2,Kelas_Stacking3
252,252,TXT0253,"Pengamat politik Universitas Jember Dr Muhammad Iqbal menilai bahwa calon presiden Anies Baswedan masih menjadi raja debat dengan seni adu argumen pada debat ketiga yang digelar KPU RI di Istora Senayan pada Minggu (7/01/2024) malam.

Ia mengatakan Anies kembali menegaskan bahwa Indonesia harus menjadi Panglima Diplomasi dan pemimpin yang efektif diperhitungkan di ASEAN sehingga kebersamaan negara anggota ASEAN diyakini mampu berperan aktif menemukan solusi atas konflik nine dash line yang diklaim sepihak oleh Tiongkok.

Simak berita selengkapnya di https://t.co/ZPDilYGt6x
#HardNews_Politik #NewsOne #CariBeritaditvOne #Politik #tvOneTVPemilu #KamiKabarkanAndaPutuskan #MauMemilih #Capres #Cawapres #Pemilu2024 #Pilpres2024 #AniesBaswedan #DebatCapres2024 [RE tvOneNews]",pengamat politik universitas jember dr muhammad iqbal menilai calon presiden anies baswedan raja debat seni adu argumen debat ketiga digelar kpu ri istora senayan minggu malamia anies indonesia panglima diplomasi pemimpin efektif diperhitungkan asean kebersamaan negara anggota asean diyakini berperan aktif menemukan solusi konflik nine dash line diklaim tiongkoksimak berita selengkapnya hardnewspolitik newsone cariberitaditvone politik tvonetvpemilu kamikabarkanandaputuskan maumemilih cawapres,"['pengamat', 'politik', 'universitas', 'jember', 'dr', 'muhammad', 'iqbal', 'menilai', 'calon', 'presiden', 'anies', 'baswedan', 'raja', 'debat', 'seni', 'adu', 'argumen', 'debat', 'ketiga', 'digelar', 'kpu', 'ri', 'istora', 'senayan', 'minggu', 'malamia', 'anies', 'indonesia', 'panglima', 'diplomasi', 'pemimpin', 'efektif', 'diperhitungkan', 'asean', 'kebersamaan', 'negara', 'anggota', 'asean', 'diyakini', 'berperan', 'aktif', 'menemukan', 'solusi', 'konflik', 'nine', 'dash', 'line', 'diklaim', 'tiongkoksimak', 'berita', 'selengkapnya', 'hardnewspolitik', 'newsone', 'cariberitaditvone', 'politik', 'tvonetvpemilu', 'kamikabarkanandaputuskan', 'maumemilih', 'cawapres']","['pengamat', 'politik', 'universitas', 'jember', 'dari', 'muhammad', 'iqbal', 'menilai', 'calon', 'presiden', 'anies', 'baswedan', 'raja', 'debat', 'seni', 'adu', 'argumen', 'debat', 'ketiga', 'digelar', 'kpu', 'ri', 'istora', 'senayan', 'minggu', 'malamia', 'anies', 'indonesia', 'panglima', 'diplomasi', 'pemimpin', 'efektif', 'diperhitungkan', 'asean', 'kebersamaan', 'negara', 'anggota', 'asean', 'diyakini', 'berperan', 'aktif', 'menemukan', 'solusi', 'konflik', 'nine', 'dash', 'line', 'diklaim', 'tiongkoksimak', 'berita', 'selengkapnya', 'hardnewspolitik', 'newsone', 'cariberitaditvone', 'politik', 'tvonetvpemilu', 'kamikabarkanandaputuskan', 'maumemilih', 'cawapres']","['amat', 'politik', 'universitas', 'jember', 'dari', 'muhammad', 'iqbal', 'nilai', 'calon', 'presiden', 'anies', 'baswedan', 'raja', 'debat', 'seni', 'adu', 'argumen', 'debat', 'tiga', 'gelar', 'kpu', 'ri', 'istora', 'senayan', 'minggu', 'malamia', 'anies', 'indonesia', 'panglima', 'diplomasi', 'pimpin', 'efektif', 'hitung', 'asean', 'sama', 'negara', 'anggota', 'asean', 'yakin', 'peran', 'aktif', 'temu', 'solusi', 'konflik', 'nine', 'dash', 'line', 'klaim', 'tiongkoksimak', 'berita', 'lengkap', 'hardnewspolitik', 'newsone', 'cariberitaditvone', 'politik', 'tvonetvpemilu', 'kamikabarkanandaputuskan', 'maumemilih', 'cawapres']",amat politik universitas jember dari muhammad iqbal nilai calon presiden anies baswedan raja debat seni adu argumen debat tiga gelar kpu ri istora senayan minggu malamia anies indonesia panglima diplomasi pimpin efektif hitung asean sama negara anggota asean yakin peran aktif temu solusi konflik nine dash line klaim tiongkoksimak berita lengkap hardnewspolitik newsone cariberitaditvone politik tvonetvpemilu kamikabarkanandaputuskan maumemilih cawapres,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik
253,253,TXT0254,"Ganjar akan memberantas KKN dan Pungli demi kesejahteraan kaum Buruh di Indonesia GanjarMahfud2024 Bekasi bekasiÃ‚Â 

 Ganjar Mahfud Hebat #Coblos3 #3GM Memimpin Indonesia #GanjarMahfudM3nangDebat https://t.co/35fxdv3mUh",memberantas kkn pungli kesejahteraan kaum buruh indonesia bekasi bekasi hebat memimpin indonesia,"['memberantas', 'kkn', 'pungli', 'kesejahteraan', 'kaum', 'buruh', 'indonesia', 'bekasi', 'bekasi', 'hebat', 'memimpin', 'indonesia']","['memberantas', 'kkn', 'pungli', 'kesejahteraan', 'kaum', 'buruh', 'indonesia', 'bekasi', 'bekasi', 'hebat', 'memimpin', 'indonesia']","['berantas', 'kkn', 'pungli', 'sejahtera', 'kaum', 'buruh', 'indonesia', 'bekas', 'bekas', 'hebat', 'pimpin', 'indonesia']",berantas kkn pungli sejahtera kaum buruh indonesia bekas bekas hebat pimpin indonesia,Demografi,Ekonomi,Demografi,Demografi,Demografi,Demografi,Demografi,Demografi,Sosial Budaya,Sosial Budaya,Politik,Demografi
254,254,TXT0255,"Ganjar-Mahfud akan memerangi kemiskinan dengan kebijakan yang efektif. @antttiiiiii1 Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/GPLZiS8hds",memerangi kemiskinan kebijakan efektif happy new year,"['memerangi', 'kemiskinan', 'kebijakan', 'efektif', 'happy', 'new', 'year']","['memerangi', 'kemiskinan', 'kebijakan', 'efektif', 'happy', 'new', 'year']","['rang', 'miskin', 'bijak', 'efektif', 'happy', 'new', 'year']",rang miskin bijak efektif happy new year,Sosial Budaya,Ekonomi,Sosial Budaya,Sosial Budaya,Politik,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Politik,Sosial Budaya
255,255,TXT0256,"Ganjar-Mahfud akan menciptakan iklim investasi yang kondusif. @agungkharismm Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/kPu3jt8jTI",menciptakan iklim investasi kondusif agungkharismm happy new year,"['menciptakan', 'iklim', 'investasi', 'kondusif', 'agungkharismm', 'happy', 'new', 'year']","['menciptakan', 'iklim', 'investasi', 'kondusif', 'agungkharismm', 'happy', 'new', 'year']","['cipta', 'iklim', 'investasi', 'kondusif', 'agungkharismm', 'happy', 'new', 'year']",cipta iklim investasi kondusif agungkharismm happy new year,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Politik,Ekonomi
256,256,TXT0257,@4H1vUCc4OsPEdHy0UWnX92MlRQJHDFMqP3pDL72/XBQ= @7zKOzEg0lpOFbnvoz62dZ5YGei+XBMmaSn9NB0iZadg= @aYKAi+rRiGcl9nBuowVvyrGymExMs+QbQSxODr4apa0= @wYMbnSDK+T6YC7GS5kR3qQguXeV5h+l5ini2L9QYaT8= Rohingya masuk nyalahin anies,rohingya masuk anies,"['rohingya', 'masuk', 'anies']","['rohingya', 'masuk', 'anies']","['rohingya', 'masuk', 'anies']",rohingya masuk anies,Sosial Budaya,Politik,Sosial Budaya,Sosial Budaya,Politik,Sosial Budaya,Politik,Sosial Budaya,Politik,Politik,Politik,Sosial Budaya
257,257,TXT0258,"saat ini warga kampung bayam seharusnya bisa hidup tenang dan nyaman karena telah dibangunkan hunian baru dan layak oleh anies yang saat itu gubernur, namun mereka menangis karena dihalang-halangi oleh pj gubernur heru.

warga kemudian mengadu, dan anies menerima aduan itu dengan pelukan erat dan tangis yang otomatis membanjiri mata orang-orang yang melihat.

""sekarang kewenangannya lagi enggak ada, kita sama-sama rakyat biasa. nanti begitu ada kewenangan, kita kembalikan apa yang sudah seharusnya. yang sabar, insyaallah ada waktunya."" ujar anies dalam dekapan erat rakyat.

jujur, aku nangis banget Ã°ÂŸÂ˜Â­ [RE dayatpiliang]",warga kampung bayam hidup tenang nyaman dibangunkan hunian layak anies gubernur menangis dihalanghalangi pj gubernur heruwarga mengadu anies menerima aduan pelukan erat tangis otomatis membanjiri mata orangorang melihatsekarang kewenangannya samasama rakyat kewenangan kembalikan sabar anies dekapan erat rakyatjujur nangis banget,"['warga', 'kampung', 'bayam', 'hidup', 'tenang', 'nyaman', 'dibangunkan', 'hunian', 'layak', 'anies', 'gubernur', 'menangis', 'dihalanghalangi', 'pj', 'gubernur', 'heruwarga', 'mengadu', 'anies', 'menerima', 'aduan', 'pelukan', 'erat', 'tangis', 'otomatis', 'membanjiri', 'mata', 'orangorang', 'melihatsekarang', 'kewenangannya', 'samasama', 'rakyat', 'kewenangan', 'kembalikan', 'sabar', 'anies', 'dekapan', 'erat', 'rakyatjujur', 'nangis', 'banget']","['warga', 'kampung', 'bayam', 'hidup', 'tenang', 'nyaman', 'dibangunkan', 'hunian', 'layak', 'anies', 'gubernur', 'menangis', 'dihalanghalangi', 'pj', 'gubernur', 'heruwarga', 'mengadu', 'anies', 'menerima', 'aduan', 'pelukan', 'erat', 'tangis', 'otomatis', 'membanjiri', 'mata', 'orangorang', 'melihatsekarang', 'kewenangannya', 'samasama', 'rakyat', 'kewenangan', 'kembalikan', 'sabar', 'anies', 'dekapan', 'erat', 'rakyatjujur', 'menangis', 'banget']","['warga', 'kampung', 'bayam', 'hidup', 'tenang', 'nyaman', 'bangun', 'huni', 'layak', 'anies', 'gubernur', 'menang', 'dihalanghalangi', 'pj', 'gubernur', 'heruwarga', 'adu', 'anies', 'terima', 'adu', 'peluk', 'erat', 'tangis', 'otomatis', 'banjir', 'mata', 'orangorang', 'melihatsekarang', 'wenang', 'samasama', 'rakyat', 'wenang', 'kembali', 'sabar', 'anies', 'dekap', 'erat', 'rakyatjujur', 'menang', 'banget']",warga kampung bayam hidup tenang nyaman bangun huni layak anies gubernur menang dihalanghalangi pj gubernur heruwarga adu anies terima adu peluk erat tangis otomatis banjir mata orangorang melihatsekarang wenang samasama rakyat wenang kembali sabar anies dekap erat rakyatjujur menang banget,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Geografi,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Politik,Sosial Budaya
258,258,TXT0259,"Kalian berani Sumpah apa bahwa yg Utama adalah Kesejahteraan Rakyat Kemakmuran bangsa Indonesia, Keadilan Hukum dan Ekonomi bagi seluruh Rakyat Indonesia. 
@aniesbaswedan @prabowo @ganjarpranowo [RE Soraya__X]",berani sumpah utama kesejahteraan rakyat kemakmuran bangsa indonesia keadilan hukum ekonomi rakyat indonesia,"['berani', 'sumpah', 'utama', 'kesejahteraan', 'rakyat', 'kemakmuran', 'bangsa', 'indonesia', 'keadilan', 'hukum', 'ekonomi', 'rakyat', 'indonesia']","['berani', 'sumpah', 'utama', 'kesejahteraan', 'rakyat', 'kemakmuran', 'bangsa', 'indonesia', 'keadilan', 'hukum', 'ekonomi', 'rakyat', 'indonesia']","['berani', 'sumpah', 'utama', 'sejahtera', 'rakyat', 'makmur', 'bangsa', 'indonesia', 'adil', 'hukum', 'ekonomi', 'rakyat', 'indonesia']",berani sumpah utama sejahtera rakyat makmur bangsa indonesia adil hukum ekonomi rakyat indonesia,Ideologi,Ekonomi,Ideologi,Ideologi,Ekonomi,Ideologi,Ideologi,Ekonomi,Ekonomi,Ekonomi,Politik,Ideologi
259,259,TXT0260,"Indonesia bukan warisan jokowi, mari Selamat kan demokrasi

#HardNews_Viral #NewsOne #CariBeritaditvOne #Politik #Prabowo #ViralCilincing #Operasi200Ribu #Pilpres2024 #GibranRakabuming #prabowo #JokowiPredatorReformasi https://t.co/QEUf0eDd6b",indonesia warisan mari selamat demokrasihardnewsviral newsone cariberitaditvone politik viralcilincing,"['indonesia', 'warisan', 'mari', 'selamat', 'demokrasihardnewsviral', 'newsone', 'cariberitaditvone', 'politik', 'viralcilincing']","['indonesia', 'warisan', 'mari', 'selamat', 'demokrasihardnewsviral', 'newsone', 'cariberitaditvone', 'politik', 'viralcilincing']","['indonesia', 'waris', 'mari', 'selamat', 'demokrasihardnewsviral', 'newsone', 'cariberitaditvone', 'politik', 'viralcilincing']",indonesia waris mari selamat demokrasihardnewsviral newsone cariberitaditvone politik viralcilincing,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik
260,260,TXT0261,Jubir AMIN soal Tanah Prabowo: Janjinya Buat Rakyat tapi Tak Dilaksanakan https://t.co/1lOsT4i7jR [RE OposisiCerdas],jubir amin tanah janjinya rakyat dilaksanakan,"['jubir', 'amin', 'tanah', 'janjinya', 'rakyat', 'dilaksanakan']","['jubir', 'amin', 'tanah', 'janjinya', 'rakyat', 'dilaksanakan']","['jubir', 'amin', 'tanah', 'janji', 'rakyat', 'laksana']",jubir amin tanah janji rakyat laksana,Sumber Daya Alam,Sumber Daya Alam,Sumber Daya Alam,Sumber Daya Alam,Politik,Sumber Daya Alam,Politik,Sumber Daya Alam,Sumber Daya Alam,Sumber Daya Alam,Politik,Sumber Daya Alam
261,261,TXT0262,@ganjarpranowo @mohmahfudmd Inisiatif Ganjar dalam mengurangi kemiskinan membawa perubahan positif yang nyata.,inisiatif mengurangi kemiskinan membawa perubahan positif nyata,"['inisiatif', 'mengurangi', 'kemiskinan', 'membawa', 'perubahan', 'positif', 'nyata']","['inisiatif', 'mengurangi', 'kemiskinan', 'membawa', 'perubahan', 'positif', 'nyata']","['inisiatif', 'kurang', 'miskin', 'bawa', 'ubah', 'positif', 'nyata']",inisiatif kurang miskin bawa ubah positif nyata,Sosial Budaya,Ekonomi,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Politik,Sosial Budaya
262,262,TXT0263,"Ganjar-Mahfud membawa semangat sportivitas dan persatuan dalam setiap lapisan masyarakat. @tuanputrii27 Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/iTOwpoZRTw",membawa semangat sportivitas persatuan lapisan masyarakat happy new year,"['membawa', 'semangat', 'sportivitas', 'persatuan', 'lapisan', 'masyarakat', 'happy', 'new', 'year']","['membawa', 'semangat', 'sportivitas', 'persatuan', 'lapisan', 'masyarakat', 'happy', 'new', 'year']","['bawa', 'semangat', 'sportivitas', 'satu', 'lapis', 'masyarakat', 'happy', 'new', 'year']",bawa semangat sportivitas satu lapis masyarakat happy new year,Sosial Budaya,Politik,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Politik,Sosial Budaya
263,263,TXT0264,Anies Protes Simulasi Surat Suara Hanya 2 Paslon: Tidak Usah Main-main! https://t.co/8KRdXWWTgE [RE OposisiCerdas],anies protes simulasi surat suara paslon mainmain,"['anies', 'protes', 'simulasi', 'surat', 'suara', 'paslon', 'mainmain']","['anies', 'protes', 'simulasi', 'surat', 'suara', 'paslon', 'mainmain']","['anies', 'protes', 'simulasi', 'surat', 'suara', 'paslon', 'mainmain']",anies protes simulasi surat suara paslon mainmain,Sosial Budaya,Politik,Sosial Budaya,Sosial Budaya,Politik,Sosial Budaya,Politik,Sosial Budaya,Politik,Politik,Politik,Sosial Budaya
264,264,TXT0265,"Bonus demografi akan menjadi potensi besar yang dimanfaatkan untuk memacu pertumbuhan ekonomi, dan Ganjar-Mahfud memiliki visi jelas untuk mewujudkannya. @moontaoji Happy New Year 
#GanjarMahfud2024
#3MandatGanjarMahfud
#L3bihbaik https://t.co/iyZ85WhH0g",bonus demografi potensi dimanfaatkan memacu pertumbuhan ekonomi memiliki visi mewujudkannya moontaoji happy new year,"['bonus', 'demografi', 'potensi', 'dimanfaatkan', 'memacu', 'pertumbuhan', 'ekonomi', 'memiliki', 'visi', 'mewujudkannya', 'moontaoji', 'happy', 'new', 'year']","['bonus', 'demografi', 'potensi', 'dimanfaatkan', 'memacu', 'pertumbuhan', 'ekonomi', 'memiliki', 'visi', 'mewujudkannya', 'moontaoji', 'happy', 'new', 'year']","['bonus', 'demografi', 'potensi', 'manfaat', 'pacu', 'tumbuh', 'ekonomi', 'milik', 'visi', 'wujud', 'moontaoji', 'happy', 'new', 'year']",bonus demografi potensi manfaat pacu tumbuh ekonomi milik visi wujud moontaoji happy new year,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Politik,Ekonomi
265,265,TXT0266,"Saya dulu berpikir polarisasi akan berkurang kalau Jokowi menggandeng Prabowo dalam Koalisi.. 

Ternyata setelah Jokowi dan Prabowo bergabung dalam Pilpres 2024, yang terjadi malah lebih parah dari Pilpres sebelumnya.. 

Jangan sia-siakan nyawa yang melayang dan darah yang tertumpah.. 

Selamatkan demokrasi kita dari Prabowo Gibran Ã°ÂŸÂ’Âª [RE Paltiwest]",berpikir polarisasi berkurang menggandeng koalisi bergabung pilpres parah pilpres siasiakan nyawa melayang darah tertumpah selamatkan demokrasi,"['berpikir', 'polarisasi', 'berkurang', 'menggandeng', 'koalisi', 'bergabung', 'pilpres', 'parah', 'pilpres', 'siasiakan', 'nyawa', 'melayang', 'darah', 'tertumpah', 'selamatkan', 'demokrasi']","['berpikir', 'polarisasi', 'berkurang', 'menggandeng', 'koalisi', 'bergabung', 'pilpres', 'parah', 'pilpres', 'siasiakan', 'nyawa', 'melayang', 'darah', 'tertumpah', 'selamatkan', 'demokrasi']","['pikir', 'polarisasi', 'kurang', 'gandeng', 'koalisi', 'gabung', 'pilpres', 'parah', 'pilpres', 'siasiakan', 'nyawa', 'layang', 'darah', 'tumpah', 'selamat', 'demokrasi']",pikir polarisasi kurang gandeng koalisi gabung pilpres parah pilpres siasiakan nyawa layang darah tumpah selamat demokrasi,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik
266,266,TXT0267,"Dukung Ganjar dan Mahfud agar Indonesia bisa bersatu dalam pertumbuhan ekonomi. @andirevltns Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/6FrY4Oam5h",dukung indonesia bersatu pertumbuhan ekonomi andirevltns happy new year,"['dukung', 'indonesia', 'bersatu', 'pertumbuhan', 'ekonomi', 'andirevltns', 'happy', 'new', 'year']","['dukung', 'indonesia', 'bersatu', 'pertumbuhan', 'ekonomi', 'andirevltns', 'happy', 'new', 'year']","['dukung', 'indonesia', 'satu', 'tumbuh', 'ekonomi', 'andirevltns', 'happy', 'new', 'year']",dukung indonesia satu tumbuh ekonomi andirevltns happy new year,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Politik,Ekonomi
267,267,TXT0268,"Penurunan Paksa Iklan Videotron Anies Baswedan, Timnas Amin Berencana Mengambil Langkah Hukum https://t.co/oG2mSIYNOC [RE OposisiCerdas]",penurunan paksa iklan videotron anies baswedan timnas amin berencana mengambil langkah hukum,"['penurunan', 'paksa', 'iklan', 'videotron', 'anies', 'baswedan', 'timnas', 'amin', 'berencana', 'mengambil', 'langkah', 'hukum']","['penurunan', 'paksa', 'iklan', 'videotron', 'anies', 'baswedan', 'timnas', 'amin', 'berencana', 'mengambil', 'langkah', 'hukum']","['turun', 'paksa', 'iklan', 'videotron', 'anies', 'baswedan', 'timnas', 'amin', 'rencana', 'ambil', 'langkah', 'hukum']",turun paksa iklan videotron anies baswedan timnas amin rencana ambil langkah hukum,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik
268,268,TXT0269,"@markxiaoj @daedosoo iya buat timses pak anies makasih ya udh kasih kami ""ruang"" untuk berdemokrasi sesuai dgn apa yg kami senangi",markxiaoj daedosoo iya timses anies makasih ya udh kasih ruang berdemokrasi sesuai dgn senangi,"['markxiaoj', 'daedosoo', 'iya', 'timses', 'anies', 'makasih', 'ya', 'udh', 'kasih', 'ruang', 'berdemokrasi', 'sesuai', 'dgn', 'senangi']","['markxiaoj', 'daedosoo', 'iya', 'timses', 'anies', 'terima kasih', 'ya', 'sudah', 'kasih', 'ruang', 'berdemokrasi', 'sesuai', 'dengan', 'senangi']","['markxiaoj', 'daedosoo', 'iya', 'timses', 'anies', 'terima kasih', 'ya', 'sudah', 'kasih', 'ruang', 'demokrasi', 'sesuai', 'dengan', 'senang']",markxiaoj daedosoo iya timses anies terima kasih ya sudah kasih ruang demokrasi sesuai dengan senang,Sosial Budaya,Politik,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Sosial Budaya,Politik,Sosial Budaya
269,269,TXT0270,"Prabowo pembohong besar tidak layak jadi calon presiden @Gerindra Kamera menunjukkan Prabowo pergi ketika mau didatangi Anies

#AsalBukanPrabowo",pembohong layak calon presiden gerindra kamera pergi didatangi,"['pembohong', 'layak', 'calon', 'presiden', 'gerindra', 'kamera', 'pergi', 'didatangi']","['pembohong', 'layak', 'calon', 'presiden', 'gerindra', 'kamera', 'pergi', 'didatangi']","['bohong', 'layak', 'calon', 'presiden', 'gerindra', 'kamera', 'pergi', 'datang']",bohong layak calon presiden gerindra kamera pergi datang,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik
270,270,TXT0271,"MK
KPU
DPR
Menteri
Bawaslu
ASN
Apdesi
Lembaga Survei
POLRI
TNI

Dear President @jokowi

Apakah kami yang bukan pendukung @prabowo dan @gibran_tweet masih rakyat anda?

Inikah wajah Demokrasi riang gembira yang sesungguhnya ? https://t.co/41ts82fRHl [RE NichNach8]",mkkpudprmenteribawasluasnapdesilembaga surveipolritnidear president pendukung rakyat andainikah wajah demokrasi riang gembira sesungguhnya,"['mkkpudprmenteribawasluasnapdesilembaga', 'surveipolritnidear', 'president', 'pendukung', 'rakyat', 'andainikah', 'wajah', 'demokrasi', 'riang', 'gembira', 'sesungguhnya']","['mkkpudprmenteribawasluasnapdesilembaga', 'surveipolritnidear', 'president', 'pendukung', 'rakyat', 'andainikah', 'wajah', 'demokrasi', 'riang', 'gembira', 'sesungguhnya']","['mkkpudprmenteribawasluasnapdesilembaga', 'surveipolritnidear', 'president', 'dukung', 'rakyat', 'andainikah', 'wajah', 'demokrasi', 'riang', 'gembira', 'sungguh']",mkkpudprmenteribawasluasnapdesilembaga surveipolritnidear president dukung rakyat andainikah wajah demokrasi riang gembira sungguh,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik
271,271,TXT0272,"Program Pasangan Capres Cawapres Ganjar Pranowo dan Mahfud MD, solusi jitu buat dorong pertumbuhan ekonomi desa. #JNK #GanjarPranowoPilihanUmat https://t.co/XnNwk6YmEH",program pasangan cawapres md solusi jitu dorong pertumbuhan ekonomi desa jnk,"['program', 'pasangan', 'cawapres', 'md', 'solusi', 'jitu', 'dorong', 'pertumbuhan', 'ekonomi', 'desa', 'jnk']","['program', 'pasangan', 'cawapres', 'md', 'solusi', 'jitu', 'dorong', 'pertumbuhan', 'ekonomi', 'desa', 'jnk']","['program', 'pasang', 'cawapres', 'md', 'solusi', 'jitu', 'dorong', 'tumbuh', 'ekonomi', 'desa', 'jnk']",program pasang cawapres md solusi jitu dorong tumbuh ekonomi desa jnk,Sumber Daya Alam,Ekonomi,Sumber Daya Alam,Sumber Daya Alam,Ekonomi,Sumber Daya Alam,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Politik,Sumber Daya Alam
272,272,TXT0273,"Debat Capres Pertama, Ganjar Tegaskan Jaga Demokrasi dan Sikat Korupsi Bengis 

 Ganjar Mahfud Hebat #Coblos3 #3GM #GanjarMahfudM3nangDebat #DebatCapres https://t.co/gqDSdmy07I",debat tegaskan jaga demokrasi sikat korupsi bengis hebat,"['debat', 'tegaskan', 'jaga', 'demokrasi', 'sikat', 'korupsi', 'bengis', 'hebat']","['debat', 'tegaskan', 'jaga', 'demokrasi', 'sikat', 'korupsi', 'bengis', 'hebat']","['debat', 'tegas', 'jaga', 'demokrasi', 'sikat', 'korupsi', 'bengis', 'hebat']",debat tegas jaga demokrasi sikat korupsi bengis hebat,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik
273,273,TXT0274,"Ganjar-Mahfud memiliki komitmen kuat untuk memastikan adanya investasi di desa. @Annisakoto3 Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/vsiLYfi4lk",memiliki komitmen kuat investasi desa happy new year,"['memiliki', 'komitmen', 'kuat', 'investasi', 'desa', 'happy', 'new', 'year']","['memiliki', 'komitmen', 'kuat', 'investasi', 'desa', 'happy', 'new', 'year']","['milik', 'komitmen', 'kuat', 'investasi', 'desa', 'happy', 'new', 'year']",milik komitmen kuat investasi desa happy new year,Ekonomi,Politik,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Ekonomi,Politik,Sumber Daya Alam
274,274,TXT0275,Tanah yg disinggung siAnies semalam rupanya pnh digadaikan pak Prabowo utk mengusung siAnies jd gubernur dki. Inna lillahi https://t.co/YXxgbUoz2t [RE Chavesz08],tanah disinggung semalam pnh digadaikan utk mengusung jd gubernur dki inna,"['tanah', 'disinggung', 'semalam', 'pnh', 'digadaikan', 'utk', 'mengusung', 'jd', 'gubernur', 'dki', 'inna']","['tanah', 'disinggung', 'semalam', 'pnh', 'digadaikan', 'untuk', 'mengusung', 'jadi', 'gubernur', 'dki', 'inna']","['tanah', 'singgung', 'malam', 'pnh', 'gadai', 'untuk', 'usung', 'jadi', 'gubernur', 'dki', 'inna']",tanah singgung malam pnh gadai untuk usung jadi gubernur dki inna,Sumber Daya Alam,Sumber Daya Alam,Sumber Daya Alam,Sumber Daya Alam,Politik,Sumber Daya Alam,Politik,Sumber Daya Alam,Sosial Budaya,Sumber Daya Alam,Politik,Sumber Daya Alam
275,275,TXT0276,Ã°ÂŸÂ•ÂŒ  Ganjar Mahfud Hebat #3GM #Coblos3 #DuluJokowiSekarangGanjar #GanjarMahfud2024 \'a0GunRomli \'a0 bersih KuatkanKPK SikatKorupsi Hebat\'a0 Bukan nyogok tapi KKN Korupsi KOLUSI NEPOTISME bersih kuatkanKPK Mahfud MD\,hebat bersih kuatkankpk sikatkorupsi nyogok kkn korupsi kolusi nepotisme bersih kuatkankpk md,"['hebat', 'bersih', 'kuatkankpk', 'sikatkorupsi', 'nyogok', 'kkn', 'korupsi', 'kolusi', 'nepotisme', 'bersih', 'kuatkankpk', 'md']","['hebat', 'bersih', 'kuatkankpk', 'sikatkorupsi', 'nyogok', 'kkn', 'korupsi', 'kolusi', 'nepotisme', 'bersih', 'kuatkankpk', 'md']","['hebat', 'bersih', 'kuatkankpk', 'sikatkorupsi', 'nyogok', 'kkn', 'korupsi', 'kolusi', 'nepotisme', 'bersih', 'kuatkankpk', 'md']",hebat bersih kuatkankpk sikatkorupsi nyogok kkn korupsi kolusi nepotisme bersih kuatkankpk md,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik,Politik
